"CustomerID","Name","Email","Age","ModifiedDate"
"47030","Maria Smith","xsims@example.com","47","2022-11-06"
"47031","Maria Smith","xsims@example.com","63","2022-11-06"
"47032","Michael Martin","alexanderwyatt@example.org","77","2022-11-06"
"47033","Michael Martin","alexanderwyatt@example.org","38","2022-11-06"
"47034","Carolyn Gardner","garycastro@example.org","51","2022-11-06"
"47035","Carolyn Gardner","garycastro@example.org","74","2022-11-06"
"47036","Andrew Martin","carlagreen@example.com","87","2022-11-06"
"47037","Andrew Martin","carlagreen@example.com","85","2022-11-06"
"47038","James Richards","obrienjoshua@example.com","70","2022-11-06"
"47039","James Richards","obrienjoshua@example.com","31","2022-11-06"
"47040","Lindsay Sanchez","ymarks@example.net","25","2022-11-06"
"47041","Lindsay Sanchez","ymarks@example.net","46","2022-11-06"
"47042","John Vaughn","tinagarrison@example.net","89","2022-11-06"
"47043","John Vaughn","tinagarrison@example.net","29","2022-11-06"
"47044","Jennifer Simmons","aflores@example.org","64","2022-11-06"
"47045","Jennifer Simmons","aflores@example.org","45","2022-11-06"
"47046","Debbie Blackburn","hernandezjacob@example.net","32","2022-11-06"
"47047","Debbie Blackburn","hernandezjacob@example.net","21","2022-11-06"
"47048","Mark Werner","jerryduran@example.org","25","2022-11-06"
"47049","Mark Werner","jerryduran@example.org","55","2022-11-06"
"47050","Shannon Wilson","gaymichael@example.com","77","2022-11-06"
"47051","Shannon Wilson","gaymichael@example.com","20","2022-11-06"
"47052","Mr. John Martinez","monica20@example.net","20","2022-11-06"
"47053","Mr. John Martinez","monica20@example.net","61","2022-11-06"
"47054","Victoria Baldwin","foxlaura@example.com","63","2022-11-06"
"47055","Victoria Baldwin","foxlaura@example.com","38","2022-11-06"
"47056","Tyler Alexander","sarah79@example.org","44","2022-11-06"
"47057","Tyler Alexander","sarah79@example.org","78","2022-11-06"
"47058","Edwin Mooney","rhanson@example.com","23","2022-11-06"
"47059","Edwin Mooney","rhanson@example.com","72","2022-11-06"
"47060","Jonathan Hart","nathan43@example.org","39","2022-11-06"
"47061","Jonathan Hart","nathan43@example.org","54","2022-11-06"
"47062","James Reeves","joan34@example.org","57","2022-11-06"
"47063","Patrick Campbell","mcdonalddestiny@example.net","90","2022-11-06"
